Localidades de Pueblos Indigenas u Originarios - resultado de busqueda,,,,,,,
Nombre,Tipo de localidad de pueblos indigenas,Pueblo indigena,Departamento,Provincia,Distrito,Reconocimiento,Titulacion
Kusuim,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.D.R.S. 138-2005-GOBIERNO REGIONAL AMAZONAS/DRA,-
Kusuim,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 337-96-RENOM/DSRAG-J,R.D. 113-97-AG-DRA
Kusu Kubaim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Kusu Kunchin,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Kusumatak,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.D.R.S. 135-2005-GOBIERNO REGIONAL AMAZONAS/DRA,-
Kusu-numpatkeim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  054-OAE-ORAMS-II-76,R.D. 4547-76-DGRA/AR
Kuyumatak,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.D.R. 083-2004-GOBIERNO REGIONAL AMAZONAS/GRDE-DRA/D,R.D.R.S. N?142-2006-GOBIERNO REGIONAL AMAZONA/GRDE/DRA/D
La Banda,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
La Curva,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.D.  079-99-CTAR-A-DR-AG/D,R.D. 155-99-CTAR-A-DR-AG/D
La Jalca,Comunidad Campesina,Quechuas,Amazonas,Chachapoyas,La Jalca,R.S. s/n,Tomo: 37 / Folio: 153 / Asiento: 1 / Partida: LXVII / Partida electronica: 2013677
La Poza,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
La Tuna,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 274-97-RENOM/DSRAG-J,R.D. 118-97-AG-DRA
La Tuna Alianza,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Limon de Kayamas,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Listra,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Majanu-entsa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  135-98-RENOM/DSRAG-J,R.S.R.S. 147-98-RENOM/DSRAG-J
Mamayakim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  313-OAE-ORAMS-II-75,R.D. 2622-75-DGRA-AR
Mamayaque,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  261-OAE-ORAMS-II-76,R.D. 2219-77-DGRA-AR
Maracana,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Meente,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Mias,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Muchinguis,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
